state/district,fullname,first,last,chamber,birthdate,age,date_took_office,time_in_congress (years),cong_days,zodiac sign,Party,percent_life_in_office,raw_life_in_congress
Pennsylvania 6,Jim Gerlach,Jim,Gerlach,Representative,2/25/1955,59,1/3/2003,11,4015,Pisces,Republican,19%,19
Connecticut 4,Jim Himes,Jim,Himes,Representative,7/5/1966,47,1/3/2009,5,1825,Cancer,Democratic,11%,11
Oklahoma,Jim Inhofe,Jim,Inhofe,Senator,11/17/1934,79,11/17/1994,19,6935,Scorpio,Republican,24%,24
Ohio 4,Jim Jordan,Jim,Jordan,Representative,2/17/1964,50,1/3/2007,7,2555,Aquarius,Republican,14%,14
Utah 4,Jim Matheson,Jim,Matheson,Representative,3/21/1960,54,1/3/2001,13,4745,Aries,Democratic,24%,24
Washington 7,Jim McDermott,Jim,McDermott,Representative,12/28/1936,77,1/3/1989,25,9125,Capricorn,Democratic,32%,32
Massachusetts 2,Jim McGovern,Jim,McGovern,Representative,11/20/1959,54,1/3/1997,17,6205,Scorpio,Democratic,31%,31
Virginia 8,Jim Moran,Jim,Moran,Representative,5/16/1945,68,1/3/1991,23,8395,Taurus,Democratic,34%,34
Ohio 16,Jim Renacci,Jim,Renacci,Representative,12/3/1958,55,1/3/2011,3,1095,Sagittarius,Republican,5%,6
Idaho,Jim Risch,Jim,Risch,Senator,5/3/1943,70,1/3/2009,5,1825,Taurus,Republican,7%,7
Wisconsin 5,Jim Sensenbrenner,Jim,Sensenbrenner,Representative,6/14/1943,70,1/3/1979,35,12775,Gemini,Republican,50%,50
Tennessee 2,Jimmy Duncan,Jimmy,Duncan,Representative,7/21/1947,66,11/8/1988,25,9125,Cancer,Republican,38%,38
Texas 20,Joaquín Castro,Joaquín,Castro,Representative,9/16/1974,39,1/3/2013,1,365,Virgo,Democratic,3%,3
Texas 6,Joe Barton,Joe,Barton,Representative,9/15/1949,64,1/3/1985,29,10585,Virgo,Republican,45%,45
Connecticut 2,Joe Courtney,Joe,Courtney,Representative,4/6/1953,61,1/3/2007,7,2555,Aries,Democratic,11%,11
Indiana,Joe Donnelly,Joe,Donnelly,Senator,9/29/1955,58,1/3/2013,1,365,Libra,Democratic,2%,2
Florida 26,Joe Garcia,Joe,Garcia,Representative,10/12/1963,50,1/3/2013,1,365,Libra,Democratic,2%,2
Nevada 3,Joe Heck,Joe,Heck,Representative,3/3/1961,53,1/3/2011,3,1095,Pisces,Republican,6%,6
Massachusetts 4,Joe Kennedy,Joe,Kennedy,Representative,10/4/1980,33,1/3/2013,1,365,Libra,Democratic,3%,3
West Virginia,Joe Manchin,Joe,Manchin,Senator,8/24/1947,66,11/15/2010,3,1095,Virgo,Democratic,5%,5
Pennsylvania 16,Joe Pitts,Joe,Pitts,Representative,10/10/1939,74,1/3/1997,17,6205,Libra,Republican,23%,23
South Carolina 2,Joe Wilson,Joe,Wilson,Representative,7/31/1947,66,12/18/2001,12,4380,Leo,Republican,18%,18
Connecticut 1,John B. Larson,John B.,Larson,Representative,7/22/1948,65,1/3/1999,15,5475,Cancer,Democratic,23%,23
California 45,John B.T. Campbell,John B.T.,Campbell,Representative,7/19/1955,58,12/6/2005,8,2920,Cancer,Republican,14%,14
Wyoming,John Barrasso,John,Barrasso,Senator,7/21/1952,61,6/25/2007,6,2190,Cancer,Republican,10%,10
Georgia 12,John Barrow,John,Barrow,Representative,10/31/1955,58,1/3/2005,9,3285,Scorpio,Democratic,16%,16
Ohio 8,John Boehner,John,Boehner,Representative,11/17/1949,64,1/3/1991,23,8395,Scorpio,Republican,36%,36
Arkansas,John Boozman,John,Boozman,Senator,12/10/1950,63,1/3/2011,3,1095,Sagittarius,Republican,5%,5
Delaware At-Large,John C. Carney,John C.,Carney,Representative,5/20/1956,57,1/3/2011,3,1095,Taurus,Democratic,5%,5
Louisiana 4,John C. Fleming,John C.,Fleming,Representative,7/5/1951,62,1/3/2009,5,1825,Cancer,Republican,8%,8
Texas 31,John Carter,John,Carter,Representative,11/6/1941,72,1/3/2003,11,4015,Scorpio,Republican,15%,15
Michigan 13,John Conyers,John,Conyers,Representative,5/16/1929,84,1/3/1965,49,17885,Taurus,Democratic,58%,58
Texas,John Cornyn,John,Cornyn,Senator,2/2/1952,62,12/1/2002,11,4015,Aquarius,Republican,18%,18
Texas 7,John Culberson,John,Culberson,Representative,8/24/1956,57,1/3/2001,13,4745,Virgo,Republican,23%,23
Michigan 12,John Dingell,John,Dingell,Representative,7/8/1926,87,12/13/1955,58,21170,Cancer,Democratic,67%,67
Massachusetts 6,John F. Tierney,John F.,Tierney,Representative,9/18/1951,62,1/3/1997,17,6205,Virgo,Democratic,27%,27
California 3,John Garamendi,John,Garamendi,Representative,1/24/1945,69,11/3/2009,4,1460,Aquarius,Democratic,6%,6
North Dakota,John Hoeven,John,Hoeven,Senator,3/13/1957,57,1/3/2011,3,1095,Pisces,Republican,5%,5
Maryland 6,John K. Delaney,John K.,Delaney,Representative,4/16/1963,51,1/3/2013,1,365,Aries,Democratic,2%,2
Minnesota 2,John Kline,John,Kline,Representative,9/6/1947,66,1/3/2003,11,4015,Virgo,Republican,17%,17
Arizona,John McCain,John,McCain,Senator,8/29/1936,77,1/3/1987,27,9855,Virgo,Republican,35%,35
Florida 7,John Mica,John,Mica,Representative,1/27/1943,71,1/3/1993,21,7665,Aquarius,Republican,30%,30
Georgia 5,John R. Lewis,John R.,Lewis,Representative,2/21/1940,74,1/3/1987,27,9855,Pisces,Democratic,36%,36
Maryland 3,John Sarbanes,John,Sarbanes,Representative,5/22/1962,51,1/3/2007,7,2555,Gemini,Democratic,14%,14
Illinois 15,John Shimkus,John,Shimkus,Representative,2/21/1958,56,1/3/1997,17,6205,Pisces,Republican,30%,30
South Dakota,John Thune,John,Thune,Senator,1/7/1961,53,1/3/2005,9,3285,Capricorn,Republican,17%,17
Montana,John Walsh,John,Walsh,Senator,11/3/1960,53,2/9/2014,0,0,Scorpio,Democratic,0%,0
Kentucky 3,John Yarmuth,John,Yarmuth,Representative,11/4/1947,66,1/3/2007,7,2555,Scorpio,Democratic,11%,11
Georgia,Johnny Isakson,Johnny,Isakson,Senator,12/28/1944,69,1/3/2005,9,3285,Capricorn,Republican,13%,13
New Jersey 3,Jon Runyan,Jon,Runyan,Representative,11/27/1973,40,1/3/2011,3,1095,Sagittarius,Republican,8%,8
Montana,Jon Tester,Jon,Tester,Senator,8/21/1956,57,1/3/2007,7,2555,Leo,Democratic,12%,12
New York 15,José Serrano,José,Serrano,Representative,10/24/1943,70,3/20/1990,24,8760,Scorpio,Democratic,34%,34
New York 14,Joseph Crowley,Joseph,Crowley,Representative,3/16/1962,52,1/3/1999,15,5475,Pisces,Democratic,29%,29
Ohio 3,Joyce Beatty,Joyce,Beatty,Representative,3/12/1950,64,1/3/2013,1,365,Pisces,Democratic,2%,2
California 51,Juan Vargas,Juan,Vargas,Representative,3/7/1961,53,1/3/2013,1,365,Pisces,Democratic,2%,2
California 27,Judy Chu,Judy,Chu,Representative,7/7/1953,60,7/14/2009,4,1460,Cancer,Democratic,7%,7
California 26,Julia Brownley,Julia,Brownley,Representative,8/28/1952,61,1/3/2013,1,365,Virgo,Democratic,2%,2
Michigan 3,Justin Amash,Justin,Amash,Representative,4/18/1980,34,1/3/2011,3,1095,Aries,Republican,9%,9
California 37,Karen Bass,Karen,Bass,Representative,10/3/1953,60,1/3/2011,3,1095,Libra,Democratic,5%,5
Massachusetts 5,Katherine Clark,Katherine,Clark,Representative,7/17/1963,50,12/10/2013,0,0,Cancer,Democratic,0%,0
Florida 14,Kathy Castor,Kathy,Castor,Representative,8/20/1966,47,1/3/2007,7,2555,Leo,Democratic,15%,15
Texas 12,Kay Granger,Kay,Granger,Representative,1/18/1943,71,1/3/1997,17,6205,Capricorn,Republican,24%,24
North Carolina,Kay Hagan,Kay,Hagan,Senator,5/26/1953,60,1/3/2009,5,1825,Gemini,Democratic,8%,8
Minnesota 5,Keith Ellison,Keith,Ellison,Representative,8/4/1963,50,1/3/2007,7,2555,Leo,Democratic,14%,14
Pennsylvania 12,Keith Rothfus,Keith,Rothfus,Representative,4/25/1962,52,1/3/2013,1,365,Taurus,Republican,2%,2
New Hampshire,Kelly Ayotte,Kelly,Ayotte,Senator,6/27/1968,45,1/3/2011,3,1095,Cancer,Republican,7%,7
California 42,Ken Calvert,Ken,Calvert,Representative,6/8/1953,60,1/3/1993,21,7665,Gemini,Republican,35%,35
Texas 24,Kenny Marchant,Kenny,Marchant,Representative,2/23/1951,63,1/3/2005,9,3285,Pisces,Republican,14%,14
Michigan 11,Kerry Bentivolio,Kerry,Bentivolio,Representative,10/6/1951,62,1/3/2013,1,365,Libra,Republican,2%,2
Texas 8,Kevin Brady,Kevin,Brady,Representative,4/11/1955,59,1/3/1997,17,6205,Aries,Democratic,29%,29
North Dakota At-Large,Kevin Cramer,Kevin,Cramer,Representative,1/21/1961,53,1/3/2013,1,365,Aquarius,Republican,2%,2
California 23,Kevin McCarthy,Kevin,McCarthy,Representative,1/26/1965,49,1/3/2007,7,2555,Aquarius,Republican,14%,14
Kansas 3,Kevin Yoder,Kevin,Yoder,Representative,1/8/1976,38,1/3/2011,3,1095,Capricorn,Republican,8%,8
New York,Kirsten Gillibrand,Kirsten,Gillibrand,Senator,12/9/1966,47,1/26/2009,5,1825,Sagittarius,Democratic,11%,11
South Dakota At-Large,Kristi Noem,Kristi,Noem,Representative,11/30/1971,42,1/3/2011,3,1095,Sagittarius,Republican,7%,7
Oregon 5,Kurt Schrader,Kurt,Schrader,Representative,10/19/1951,62,1/3/2009,5,1825,Libra,Democratic,8%,8
Arizona 9,Kyrsten Sinema,Kyrsten,Sinema,Representative,7/12/1976,37,1/3/2013,1,365,Cancer,Democratic,3%,3
Tennessee,Lamar Alexander,Lamar,Alexander,Senator,7/3/1940,73,1/3/2003,11,4015,Cancer,Republican,15%,15
Texas 21,Lamar S. Smith,Lamar S.,Smith,Representative,11/19/1947,66,1/3/1987,27,9855,Scorpio,Republican,41%,41
Indiana 8,Larry Bucshon,Larry,Bucshon,Representative,5/31/1962,51,1/3/2011,3,1095,Gemini,Republican,6%,6
Nebraska 2,Lee Terry,Lee,Terry,Representative,1/29/1962,52,1/3/1999,15,5475,Aquarius,Republican,29%,29
New Jersey 7,Leonard Lance,Leonard,Lance,Representative,6/25/1952,61,1/3/2009,5,1825,Cancer,Republican,8%,8
California 38,Linda Sanchez,Linda,Sanchez,Representative,1/28/1969,45,1/3/2003,11,4015,Aquarius,Democratic,24%,24
South Carolina,Lindsey Graham,Lindsey,Graham,Senator,7/9/1955,58,1/3/2003,11,4015,Cancer,Republican,19%,19
Alaska,Lisa Murkowski,Lisa,Murkowski,Senator,5/22/1957,56,12/20/2002,11,4015,Gemini,Republican,20%,20
Texas 35,Lloyd Doggett,Lloyd,Doggett,Representative,10/6/1946,67,1/3/1995,19,6935,Libra,Democratic,28%,28
California 24,Lois Capps,Lois,Capps,Representative,1/10/1938,76,3/10/1998,16,5840,Capricorn,Democratic,21%,21
Florida 22,Lois Frankel,Lois,Frankel,Representative,5/17/1948,65,1/3/2013,1,365,Taurus,Democratic,2%,2
California 46,Loretta Sanchez,Loretta,Sanchez,Representative,1/7/1960,54,1/3/1997,17,6205,Capricorn,Democratic,31%,31
Pennsylvania 11,Lou Barletta,Lou,Barletta,Representative,1/28/1956,58,1/3/2011,3,1095,Aquarius,Republican,5%,5
Texas 1,Louie Gohmert,Louie,Gohmert,Representative,8/18/1953,60,1/3/2005,9,3285,Leo,Republican,15%,15
New York 25,Louise Slaughter,Louise,Slaughter,Representative,8/14/1929,84,1/3/1987,27,9855,Leo,Democratic,32%,32
California 40,Lucille Roybal-Allard,Lucille,Roybal-Allard,Representative,6/12/1941,72,1/3/1993,21,7665,Gemini,Democratic,29%,29
Illinois 4,Luis Gutiérrez,Luis,Gutiérrez,Representative,12/10/1953,60,1/3/1993,21,7665,Sagittarius,Democratic,35%,35
Indiana 6,Luke Messer,Luke,Messer,Representative,2/27/1969,45,1/3/2013,1,365,Pisces,Republican,2%,2
Kansas 2,Lynn Jenkins,Lynn,Jenkins,Representative,6/10/1963,50,1/3/2009,5,1825,Gemini,Republican,10%,10
Georgia 3,Lynn Westmoreland,Lynn,Westmoreland,Representative,4/2/1950,64,1/3/2005,9,3285,Aries,Republican,14%,14
Texas 13,Mac Thornberry,Mac,Thornberry,Representative,7/15/1958,55,1/3/1995,19,6935,Cancer,Republican,35%,35
Texas 33,Marc Veasey,Marc,Veasey,Representative,1/3/1971,43,1/3/2013,1,365,Capricorn,Democratic,2%,2
Ohio 11,Marcia Fudge,Marcia,Fudge,Representative,10/29/1952,61,11/18/2008,5,1825,Scorpio,Democratic,8%,8
Florida,Marco Rubio,Marco,Rubio,Senator,5/28/1971,42,1/3/2011,3,1095,Gemini,Republican,7%,7
Ohio 9,Marcy Kaptur,Marcy,Kaptur,Representative,6/17/1946,67,1/3/1983,31,11315,Gemini,Democratic,46%,46
Washington,Maria Cantwell,Maria,Cantwell,Senator,10/13/1958,55,1/3/2001,13,4745,Libra,Democratic,24%,24
Florida 25,Mario Diaz-Balart,Mario,Diaz-Balart,Representative,9/25/1961,52,1/3/2011,3,1095,Libra,Republican,6%,6
Nevada 2,Mark Amodei,Mark,Amodei,Representative,6/12/1958,55,9/13/2011,2,730,Gemini,Republican,4%,4
Alaska,Mark Begich,Mark,Begich,Senator,3/30/1962,52,1/3/2009,5,1825,Aries,Democratic,10%,10
Illinois,Mark Kirk,Mark,Kirk,Senator,9/15/1959,54,11/29/2010,3,1095,Virgo,Republican,6%,6
North Carolina 11,Mark Meadows,Mark,Meadows,Representative,7/28/1959,54,1/3/2013,1,365,Leo,Republican,2%,2
Wisconsin 2,Mark Pocan,Mark,Pocan,Representative,8/14/1964,49,1/3/2013,1,365,Leo,Democratic,2%,2
Arkansas,Mark Pryor,Mark,Pryor,Senator,1/10/1963,51,1/3/2003,11,4015,Capricorn,Democratic,22%,22
South Carolina 1,Mark Sanford,Mark,Sanford,Representative,5/28/1960,53,5/7/2013,1,365,Gemini,Republican,2%,0
California 41,Mark Takano,Mark,Takano,Representative,12/10/1960,53,1/3/2013,1,365,Sagittarius,Democratic,2%,2
Colorado,Mark Udall,Mark,Udall,Senator,7/18/1950,63,1/3/2009,5,1825,Cancer,Democratic,8%,8
Virginia,Mark Warner,Mark,Warner,Senator,12/15/1954,59,1/3/2009,5,1825,Sagittarius,Democratic,8%,8
Oklahoma 2,Markwayne Mullin,Markwayne,Mullin,Representative,7/26/1977,36,1/3/2013,1,365,Leo,Republican,3%,3
Indiana 3,Marlin Stutzman,Marlin,Stutzman,Representative,8/31/1976,37,11/2/2010,3,1095,Virgo,Republican,8%,8
Tennessee 7,Marsha Blackburn,Marsha,Blackburn,Representative,6/6/1952,61,1/3/2003,11,4015,Gemini,Republican,18%,18
Alabama 2,Martha Roby,Martha,Roby,Representative,7/26/1976,37,1/3/2011,3,1095,Leo,Republican,8%,8
New Mexico,Martin Heinrich,Martin,Heinrich,Senator,10/17/1971,42,1/3/2013,1,365,Libra,Democratic,2%,2
Louisiana,Mary Landrieu,Mary,Landrieu,Senator,11/23/1955,58,1/3/1997,17,6205,Sagittarius,Democratic,29%,29
Pennsylvania 17,Matt Cartwright,Matt,Cartwright,Representative,5/1/1961,52,1/3/2013,1,365,Taurus,Democratic,2%,2
Arizona 5,Matt Salmon,Matt,Salmon,Representative,1/12/1958,56,1/3/2013,1,365,Capricorn,Republican,2%,2
California 43,Maxine Waters,Maxine,Waters,Representative,8/15/1938,75,1/3/1991,23,8395,Leo,Democratic,31%,31
Hawaii,Mazie Hirono,Mazie,Hirono,Senator,11/3/1947,66,1/3/2013,1,365,Scorpio,Democratic,2%,2
Colorado,Michael Bennet,Michael,Bennet,Senator,11/28/1964,49,1/21/2009,5,1825,Sagittarius,Democratic,10%,10
Texas 26,Michael C. Burgess,Michael C.,Burgess,Representative,12/23/1950,63,1/3/2003,11,4015,Capricorn,Republican,17%,17
Pennsylvania 14,Michael F. Doyle,Michael F.,Doyle,Representative,8/5/1953,60,1/3/1995,19,6935,Leo,Democratic,32%,32
New York 11,Michael Grimm,Michael,Grimm,Representative,2/7/1970,44,1/3/2011,3,1095,Aquarius,Republican,7%,7
Texas 10,Michael McCaul,Michael,McCaul,Representative,1/14/1962,52,1/3/2005,9,3285,Capricorn,Republican,17%,17
Illinois 5,Michael Quigley,Michael,Quigley,Representative,10/17/1958,55,4/7/2009,5,1825,Libra,Democratic,9%,9
Minnesota 6,Michele Bachmann,Michele,Bachmann,Representative,4/6/1956,58,1/3/2007,7,2555,Aries,Republican,12%,12
New Mexico 1,Michelle Lujan Grisham,Michelle,Lujan Grisham,Representative,10/24/1959,54,1/3/2013,1,365,Scorpio,Democratic,2%,2
South Carolina 5,Mick Mulvaney,Mick,Mulvaney,Representative,7/21/1967,46,1/3/2011,3,1095,Cancer,Republican,7%,7
Massachusetts 7,Mike Capuano,Mike,Capuano,Representative,1/9/1952,62,1/3/1999,15,5475,Capricorn,Democratic,24%,24
Colorado 6,Mike Coffman,Mike,Coffman,Representative,3/19/1955,59,1/3/2009,5,1825,Pisces,Republican,8%,8
Texas 11,Mike Conaway,Mike,Conaway,Representative,6/11/1948,65,1/3/2005,9,3285,Gemini,Republican,14%,14
Idaho,Mike Crapo,Mike,Crapo,Senator,5/20/1951,62,1/3/1999,15,5475,Taurus,Republican,24%,24
Alabama 3,Mike D. Rogers,Mike D.,Rogers,Representative,7/16/1958,55,1/3/2003,11,4015,Cancer,Republican,20%,20
Wyoming,Mike Enzi,Mike,Enzi,Senator,2/1/1944,70,1/3/1997,17,6205,Aquarius,Republican,24%,24
Pennsylvania 8,Mike Fitzpatrick,Mike,Fitzpatrick,Representative,6/28/1963,50,1/3/2011,3,1095,Cancer,Republican,6%,6
California 17,Mike Honda,Mike,Honda,Representative,6/27/1941,72,1/3/2001,13,4745,Cancer,Democratic,18%,18
Michigan 8,Mike J. Rogers,Mike J.,Rogers,Representative,6/2/1963,50,1/3/2001,13,4745,Gemini,Republican,26%,26
Nebraska,Mike Johanns,Mike,Johanns,Senator,6/18/1950,63,1/3/2009,5,1825,Gemini,Republican,8%,8
Pennsylvania 3,Mike Kelly,Mike,Kelly,Representative,5/10/1948,65,1/3/2011,3,1095,Taurus,Republican,5%,5
Utah,Mike Lee,Mike,Lee,Senator,6/4/1971,42,1/3/2011,3,1095,Gemini,Republican,7%,7
North Carolina 7,Mike McIntyre,Mike,McIntyre,Representative,8/6/1956,57,1/3/1997,17,6205,Leo,Democratic,30%,30
Maine 2,Mike Michaud,Mike,Michaud,Representative,1/18/1955,59,1/3/2003,11,4015,Capricorn,Democratic,19%,19
Kansas 4,Mike Pompeo,Mike,Pompeo,Representative,12/30/1963,50,1/3/2011,3,1095,Capricorn,Republican,6%,6
Idaho 2,Mike Simpson,Mike,Simpson,Representative,9/8/1950,63,1/3/1999,15,5475,Virgo,Republican,24%,24
California 5,Mike Thompson,Mike,Thompson,Representative,1/24/1951,63,1/3/1999,15,5475,Aquarius,Democratic,24%,24
Ohio 10,Mike Turner,Mike,Turner,Representative,1/11/1960,54,1/3/2003,11,4015,Capricorn,Republican,20%,20
Kentucky,Mitch McConnell,Mitch,McConnell,Senator,2/20/1942,72,1/3/1985,29,10585,Pisces,Republican,40%,40
Alabama 5,Mo Brooks,Mo,Brooks,Representative,4/29/1954,60,1/3/2011,3,1095,Taurus,Republican,5%,5
Virginia 9,Morgan Griffith,Morgan,Griffith,Representative,3/15/1958,56,1/3/2011,3,1095,Pisces,Republican,5%,5
California 12,Nancy Pelosi,Nancy,Pelosi,Representative,3/26/1940,74,6/2/1987,26,9490,Aries,Democratic,35%,35
West Virginia 3,Nick Rahall,Nick,Rahall,Representative,5/20/1949,64,1/3/1977,37,13505,Taurus,Democratic,58%,58
Massachusetts 3,Niki Tsongas,Niki,Tsongas,Representative,4/26/1946,68,10/16/2007,6,2190,Taurus,Democratic,9%,9
New York 17,Nita Lowey,Nita,Lowey,Representative,7/5/1937,76,1/3/1989,25,9125,Cancer,Democratic,33%,33
New York 7,Nydia Velázquez,Nydia,Velázquez,Representative,3/28/1953,61,1/3/1993,21,7665,Aries,Democratic,34%,34
Utah,Orrin Hatch,Orrin,Hatch,Senator,3/22/1934,80,1/3/1977,37,13505,Aries,Republican,46%,46
Pennsylvania 7,Pat Meehan,Pat,Meehan,Representative,10/20/1955,58,1/3/2011,3,1095,Libra,Republican,5%,5
Kansas,Pat Roberts,Pat,Roberts,Senator,4/20/1936,78,1/3/1997,17,6205,Aries,Republican,22%,22
Ohio 12,Pat Tiberi,Pat,Tiberi,Representative,10/21/1962,51,1/3/2001,13,4745,Libra,Republican,25%,25
Pennsylvania,Pat Toomey,Pat,Toomey,Senator,11/17/1961,52,1/3/2011,3,1095,Scorpio,Republican,6%,6
Vermont,Patrick Leahy,Patrick,Leahy,Senator,3/31/1940,74,1/3/1975,39,14235,Aries,Democratic,53%,53
North Carolina 10,Patrick McHenry,Patrick,McHenry,Representative,10/22/1975,38,1/3/2005,9,3285,Libra,Republican,24%,24
Florida 18,Patrick Murphy,Patrick,Murphy,Representative,3/30/1983,31,1/3/2013,1,365,Aries,Republican,3%,3
Washington,Patty Murray,Patty,Murray,Senator,10/11/1950,63,1/3/1993,21,7665,Libra,Democratic,33%,33
Georgia 10,Paul Broun,Paul,Broun,Representative,5/14/1946,67,7/17/2007,6,2190,Taurus,Republican,9%,9
California 8,Paul Cook,Paul,Cook,Representative,3/3/1943,71,1/3/2013,1,365,Pisces,Republican,1%,1
Arizona 4,Paul Gosar,Paul,Gosar,Representative,11/27/1958,55,1/3/2011,3,1095,Sagittarius,Republican,5%,5
Wisconsin 1,Paul Ryan,Paul,Ryan,Representative,1/29/1970,44,1/3/1999,15,5475,Aquarius,Republican,34%,34
New York 20,Paul Tonko,Paul,Tonko,Representative,6/18/1949,64,1/3/2009,5,1825,Gemini,Democratic,8%,8
Texas 23,Pete Gallego,Pete,Gallego,Representative,12/2/1961,52,1/3/2013,1,365,Sagittarius,Democratic,2%,2
Texas 22,Pete Olson,Pete,Olson,Representative,12/9/1962,51,1/3/2009,5,1825,Sagittarius,Republican,10%,10
Texas 32,Pete Sessions,Pete,Sessions,Representative,3/22/1955,59,1/3/1997,17,6205,Aries,Republican,29%,29
Indiana 1,Pete Visclosky,Pete,Visclosky,Representative,8/13/1949,64,1/3/1985,29,10585,Leo,Democratic,45%,45
Oregon 4,Peter DeFazio,Peter,DeFazio,Representative,5/27/1947,66,1/3/1987,27,9855,Gemini,Democratic,41%,41
Illinois 6,Peter Roskam,Peter,Roskam,Representative,9/13/1961,52,1/3/2007,7,2555,Virgo,Republican,13%,13
New York 2,Peter T. King,Peter T.,King,Representative,4/5/1944,70,1/3/1993,21,7665,Aries,Republican,30%,30
Vermont At-Large,Peter Welch,Peter,Welch,Representative,5/2/1947,66,1/3/2007,7,2555,Taurus,Democratic,11%,11
Georgia 11,Phil Gingrey,Phil,Gingrey,Representative,7/10/1942,71,1/3/2003,11,4015,Cancer,Republican,15%,15
Tennessee 1,Phil Roe,Phil,Roe,Representative,7/21/1945,68,1/3/2009,5,1825,Cancer,Republican,7%,7
Texas 4,Ralph Hall,Ralph,Hall,Representative,5/3/1923,90,1/3/1981,33,12045,Taurus,Republican,37%,37
Kentucky,Rand Paul,Rand,Paul,Senator,1/7/1963,51,1/3/2011,3,1095,Capricorn,Republican,6%,6
Virginia 4,Randy Forbes,Randy,Forbes,Representative,2/17/1952,62,6/19/2001,12,4380,Aquarius,Republican,19%,19
Illinois 14,Randy Hultgren,Randy,Hultgren,Representative,3/1/1966,48,1/3/2011,3,1095,Pisces,Republican,6%,6
Texas 19,Randy Neugebauer,Randy,Neugebauer,Representative,12/24/1949,64,6/3/2003,10,3650,Capricorn,Republican,16%,16
Texas 14,Randy Weber,Randy,Weber,Representative,7/2/1953,60,1/3/2013,1,365,Cancer,Republican,2%,2
Arizona 3,Raúl Grijalva,Raúl,Grijalva,Representative,2/19/1948,66,1/3/2003,11,4015,Aquarius,Democratic,17%,17
Idaho 1,Raúl Labrador,Raúl,Labrador,Representative,12/8/1967,46,1/3/2011,3,1095,Sagittarius,Republican,7%,7
California 36,Raul Ruiz,Raul,Ruiz,Representative,8/25/1972,41,1/3/2013,1,365,Virgo,Democratic,2%,2
Wisconsin 8,Reid Ribble,Reid,Ribble,Representative,4/5/1956,58,1/3/2011,3,1095,Aries,Republican,5%,5
North Carolina 2,Renee Ellmers,Renee,Ellmers,Representative,2/9/1964,50,1/3/2011,3,1095,Aquarius,Republican,6%,6
Florida 11,Rich Nugent,Rich,Nugent,Representative,5/26/1951,62,1/3/2011,3,1095,Gemini,Republican,5%,5
Connecticut,Richard Blumenthal,Richard,Blumenthal,Senator,2/13/1946,68,1/3/2011,3,1095,Aquarius,Democratic,4%,4
North Carolina,Richard Burr,Richard,Burr,Senator,11/30/1955,58,1/3/2005,9,3285,Sagittarius,Republican,16%,16
North Carolina 8,Richard Hudson,Richard,Hudson,Representative,11/4/1971,42,1/3/2013,1,365,Scorpio,Republican,2%,2
New York 22,Richard L. Hanna,Richard L.,Hanna,Representative,1/25/1951,63,1/3/2011,3,1095,Aquarius,Republican,5%,5
Massachusetts 1,Richard Neal,Richard,Neal,Representative,2/14/1949,65,1/3/1989,25,9125,Aquarius,Democratic,38%,38
Alabama,Richard Shelby,Richard,Shelby,Senator,5/6/1934,79,1/3/1987,27,9855,Taurus,Republican,34%,34
Arkansas 1,Rick Crawford,Rick,Crawford,Representative,1/22/1966,48,1/3/2011,3,1095,Aquarius,Republican,6%,6
Washington 2,Rick Larsen,Rick,Larsen,Representative,6/15/1965,48,1/3/2001,13,4745,Gemini,Democratic,27%,27
Minnesota 8,Rick Nolan,Rick,Nolan,Representative,12/17/1943,70,1/3/2013,1,365,Sagittarius,Democratic,1%,1
Utah 1,Rob Bishop,Rob,Bishop,Representative,7/13/1951,62,1/3/2003,11,4015,Cancer,Republican,18%,18
Ohio,Rob Portman,Rob,Portman,Senator,12/19/1955,58,1/3/2011,3,1095,Sagittarius,Republican,5%,5
Virginia 1,Rob Wittman,Rob,Wittman,Representative,2/3/1959,55,12/11/2007,6,2190,Aquarius,Republican,11%,11
Georgia 7,Rob Woodall,Rob,Woodall,Representative,2/11/1970,44,1/3/2011,3,1095,Aquarius,Republican,7%,7
Alabama 4,Robert Aderholt,Robert,Aderholt,Representative,7/22/1965,48,1/3/1997,17,6205,Cancer,Republican,35%,35
Virginia 5,Robert Hurt,Robert,Hurt,Representative,6/16/1969,44,1/3/2011,3,1095,Gemini,Republican,7%,7
North Carolina 9,Robert Pittenger,Robert,Pittenger,Representative,8/15/1948,65,1/3/2013,1,365,Leo,Republican,2%,2
Illinois 2,Robin Kelly,Robin,Kelly,Representative,4/30/1956,58,4/9/2013,1,365,Taurus,Democratic,2%,2
New Jersey 11,Rodney Frelinghuysen,Rodney,Frelinghuysen,Representative,4/29/1946,68,1/3/1995,19,6935,Taurus,Republican,28%,28
Illinois 13,Rodney L. Davis,Rodney L.,Davis,Representative,1/5/1970,44,1/3/2013,1,365,Capricorn,Republican,2%,2
Mississippi,Roger Wicker,Roger,Wicker,Senator,7/5/1951,62,12/31/2007,6,2190,Cancer,Republican,10%,10
Texas 25,Roger Williams,Roger,Williams,Representative,9/13/1949,64,1/3/2013,1,365,Virgo,Republican,2%,2
Arizona 2,Ron Barber,Ron,Barber,Representative,8/25/1945,68,6/12/2012,1,365,Virgo,Democratic,1%,1
Florida 6,Ron DeSantis,Ron,DeSantis,Representative,9/14/1978,35,1/3/2013,1,365,Virgo,Republican,3%,3
Wisconsin,Ron Johnson,Ron,Johnson,Senator,4/8/1955,59,1/3/2011,3,1095,Aries,Republican,5%,5
